date,prcpMin,prcpMax,tmpAvg
1990,20.4,29.8,25.8189024390244
1991,21.9,28.6,25.381481481481526
1992,23.2,29.0,26.59629629629634
1993,20.7,30.7,25.445381526104455
1994,19.3,30.3,25.3855379188713
1995,19.9,31.8,24.955952380952446
1996,17.0,30.0,24.267543859649244
1997,17.9,30.6,24.958501440922255
1998,18.9,32.6,25.145407636738973
1999,18.7,29.8,24.374247491638826
2000,19.2,31.2,24.724413145539906
2001,20.2,30.5,25.07700803212851
2002,19.4,30.8,25.50622710622705
2003,19.3,28.8,25.425641025640953
2004,19.0,31.0,25.545367717287366
2005,20.4,28.7,25.044200913241834
2006,18.5,29.8,25.03626062322925
2007,21.5,29.6,25.586630036629856
2008,20.6,28.8,25.110109289617267
2009,20.2,29.1,25.349132420091088
2010,19.4,27.9,24.898173515981522
2011,20.9,27.6,24.94273972602722
2012,21.8,28.3,25.259999999999813
2013,19.8,28.4,25.312912087911943
2014,21.8,29.4,25.29853881278519
2015,20.5,30.8,26.017495395948266
2016,21.1,31.0,25.663250230840084
