,const,"Adjusted net savings, excluding particulate emission damage (% of GNI)","Adjusted net savings, including particulate emission damage (% of GNI)",Adjusted savings: particulate emission damage (% of GNI),"Age dependency ratio, old (% of working-age population)",Agricultural land (sq. km),Broad money (% of GDP),"Currency composition of PPG debt, Multiple currencies (%)","Currency composition of PPG debt, SDR (%)","Debt service on external debt, long-term (TDS, current US$)","Debt service on external debt, total (TDS, current US$)",General government final consumption expenditure (constant 2010 US$)
0,1.0,1.13290466815173,-0.886676468305768,2.0195811364575,6.6161839651535,42850.0,21.2460719499582,44.1844,0.0408,209825380.0,245016711.6,1664925242.22236
1,1.0,2.9817478383481197,1.00389730790063,1.9778505304474898,6.75424610583318,42850.0,22.894223535300302,40.8837,0.0316,302848594.9,325258319.2,1643865051.07369
2,1.0,2.6398464388022203,0.7032514023806029,1.9365950364216202,6.88452636943108,42850.0,24.196348501030897,38.6327,0.1161,491731241.9,536342297.5,1831066747.95499
3,1.0,2.6837761048856,0.805350917075169,1.8784251878104299,7.00119791310409,44820.0,21.6100572281729,36.9694,0.1412,283478993.1,333812866.5,1985484182.63803
4,1.0,1.72689486012824,-0.0790838770894764,1.80597873721771,7.09956833077973,45120.0,19.3039472920773,36.8695,0.1863,304336936.4,327216936.4,2044330461.8239899
5,1.0,2.0687315286949097,0.418090716001055,1.6506408126938603,7.1789110853734,45120.0,19.559824851347898,35.3096,0.1687,334405580.9,366405580.9,2071376419.68051
6,1.0,0.704180578623433,-0.920331796285393,1.6245123749088302,7.30135563890195,45120.0,18.4441410090117,36.2135,0.1518,347084207.7,387990207.7,2071124286.32999
7,1.0,0.76337949607556,-0.866307697356601,1.62968719343216,7.40663313507349,45220.0,20.4651968731267,31.453000000000003,0.1188,325039573.0,370639573.0,2198929246.47849
8,1.0,2.5327997105885602,0.9712128771828921,1.56158683340567,7.4937794144337,44300.0,21.2672642215164,22.2528,0.1151,319888317.7,366188317.7,2412263144.88241
9,1.0,1.41580887694854,-0.0551290272231295,1.4709379041716697,7.5640227523323,44400.0,21.1941327387257,20.0296,0.0972,334516308.4,385602658.0,2596301148.09544
10,1.0,1.36340495083291,-0.0789930332023853,1.4423979840352903,7.61960247036881,44650.0,23.254572602023696,17.3811,0.1267,344724121.8,396228543.8,2800237524.91297
11,1.0,2.8061087044349997,1.4652299793413002,1.3408787250937,7.67591799173303,44950.0,32.4309841116748,13.3263,0.4248,375077970.8,424763748.2,2950603958.5440197
12,1.0,6.91505075339726,5.68328468499195,1.23176606840531,7.7209623700575305,45250.0,31.763575322877003,11.8811,0.3943,389333750.5,424252460.5,2947973495.6724
13,1.0,7.37600183276816,6.22888933418139,1.14711249858677,7.75327751890769,50640.0,43.047800429119604,10.952,0.395,431020148.8,461837989.8,2905135378.69442
14,1.0,8.819346415822562,7.764503254552151,1.05484316127041,7.77100777533915,48000.0,43.594665843097104,8.835,0.3942,892922714.1,929398339.1,2712173998.7350802
15,1.0,6.65594456781166,5.70702430949044,0.9489202583212221,7.7749069449688,45620.0,45.4494559763816,7.8239,0.3779,990219375.5,1044158023.3,2757219415.34362
16,1.0,6.7447242380145,5.87515431111434,0.8695699269001679,7.75256129366354,43000.0,46.4154450381929,6.9045,0.4395,1211956072.5,1272735770.9,2914709519.38344
17,1.0,6.136159316397739,5.36345319487891,0.7727061215188299,7.72375740291106,44140.0,44.9465844532246,6.166,0.4706,1445454716.1,1517085561.1,3155926699.50218
18,1.0,2.11936017696228,1.40211881372752,0.7172413632347528,7.68964764547613,41380.0,43.15151068799211,5.3712,0.451,1537807368.6,1613441947.6,3513794329.39518
19,1.0,3.3795608377730297,2.67158660624875,0.707974231524278,7.65220716074148,40435.400390625,46.1603133232428,4.3139,0.3556,1743330587.3,1765186009.4,4017451007.85542
20,1.0,1.4886005065615702,0.8205641125130101,0.668036394048562,7.614885272128639,39620.80078125,46.546730832327206,3.4044,0.3066,1584628537.1,1603918645.7,4330516152.25188
21,1.0,1.08935958111086,0.45715546823157505,0.632204112879286,7.58735733470168,38906.201171875,44.81302613297439,3.0341,0.2753,2031408223.3,2061700091.1,4509538017.25057
22,1.0,1.5500500925145302,0.948178686372469,0.601871406142066,7.55942950945837,38091.5991210938,46.0638713881771,2.2108,0.1869,1580453168.6,1593793240.4,4772848394.68449
23,1.0,0.8990059217305942,0.35574207982916495,0.543263841901429,7.5435807181630805,37206.9995117188,47.0772470224693,1.5897,0.1316,2913111141.1,2925489296.2,5042266782.87968
24,1.0,-0.0487399429853563,-0.5618244835477719,0.513084540562416,7.556400602707731,37938.0004882813,47.322215893937596,1.2639,0.1015,1958425750.6,1970312684.3,5341179243.75795
25,1.0,2.5134837060544504,2.0140981157293303,0.49938559032511703,7.605879216126669,38560.0,48.0200446499833,0.9406,0.0694,2100460472.2,2111708783.8,5334171369.84719
26,1.0,2.8999995955447297,2.41884821370754,0.4811513818371861,7.68380773665529,38560.0,47.770246859086,0.7340000000000001,0.0555,3069903443.2,3086199753.1,5199428440.862221
