,const,"Adolescent fertility rate (births per 1,000 women ages 15-19)",Armed forces personnel (% of total labor force),Average grant element on new external debt commitments (%),"Average grant element on new external debt commitments, official (%)",Average maturity on new external debt commitments (years),"Average maturity on new external debt commitments, official (years)",GDP (current LCU),GDP deflator (base year varies by country),GDP deflator: linked series (base year varies by country),GDP: linked series (current LCU),Import unit value index (2000 = 100)
0,1.0,129.888,1.01694742890266,27.0918,29.9,21.4721,22.9191,20243415275.8322,25.9319623521291,25.635116004607397,20011686423.0598,91.0
1,1.0,128.685,0.9275602709567241,45.3883,48.7244,24.1187,25.42,24715575655.6066,32.7478339513685,32.3729654872813,24432653435.5047,92.0
2,1.0,127.48200000000001,0.8949120564657921,41.6312,42.0474,24.3788,24.5641,27179970583.5224,33.9510463546575,33.5624045708979,26868838133.0003,95.0
3,1.0,125.499,0.863059383054692,45.9239,56.1563,23.455,29.0674,32103058438.5596,37.6546351368575,37.223597918931,31735570798.6981,87.0
4,1.0,123.516,0.8347208521616079,35.6496,35.6496,22.0122,22.0122,39036009810.3206,45.6896826702989,45.16666727964189,38589159827.4051,92.0
5,1.0,121.53299999999999,1.1506836860518201,57.7135,57.7505,29.4489,29.9335,51281997622.0505,56.524519687478104,55.8774765911323,50694966317.5541,109.0
6,1.0,119.55,1.11038253363705,57.7302,57.7302,32.1868,32.1868,61745943216.504005,66.8083521615038,66.0435887759262,61039129845.8377,106.0
7,1.0,117.56700000000001,1.06981959671763,22.3938,21.9873,14.5949,14.4053,75442860350.0368,78.0399084654347,76.8557551071744,74298113794.115,102.0
8,1.0,115.6572,0.606839634351537,64.9427,64.9427,35.1266,35.1266,86200247225.2142,86.0772347655946,84.77112551173009,84892271418.4535,97.0
9,1.0,113.7474,0.5863116324227869,72.9682,73.6435,34.3539,34.6093,92048369629.137,92.5982112950223,91.1931547665095,90651656227.4675,95.0
10,1.0,111.8376,0.5758670624980871,73.2928,73.5048,39.6095,39.7465,106654200000.0,100.0,100.0,106654200000.0,100.0
11,1.0,109.9278,0.566014957835844,72.3728,72.3728,37.2126,37.2126,118415700000.0,108.084349380149,108.084349380149,118415700000.0,85.57101224
12,1.0,108.01799999999999,0.550071297702818,62.7039,62.7039,35.9449,35.9449,129166600000.0,113.63117325493201,113.63117325493201,129166600000.0,85.57097955
13,1.0,104.90100000000001,0.67312190574274,55.6662,55.6662,25.4609,25.4609,142817800000.0,120.17603426441299,120.17603426441299,142817800000.0,88.56587783
14,1.0,101.78399999999999,0.7271492441101821,73.2943,73.2943,35.8374,35.8374,161507500000.0,127.92977258865601,127.92977258865601,161507500000.0,95.65120196
15,1.0,98.667,0.706963341476373,67.4545,67.406,26.4547,26.2954,183747400000.0,137.24199074285,137.24199074285,183747400000.0,104.25984629999999
16,1.0,95.55,0.7019149644058921,64.2226,64.2226,29.1254,29.1254,206288000000.0,144.582602960646,144.582602960646,206288000000.0,113.64311880000001
17,1.0,92.43299999999999,0.6903996136523759,62.0922,62.0922,27.0181,27.0181,233567200000.0,154.161933683899,154.161933683899,233567200000.0,121.5981822
18,1.0,89.4986,0.6605591368870091,50.9769,50.9769,24.4642,24.4642,262416900000.0,166.171940154092,166.171940154092,262416900000.0,139.83790869999999
19,1.0,86.5642,0.628751287368261,52.0713,52.0713,25.0055,25.0055,275632200000.0,178.890295815975,178.890295815975,275632200000.0,121.6589961
20,1.0,83.6298,0.598489890308773,52.4634,52.4221,23.0143,23.0486,299286000000.0,187.255283498866,187.255283498866,299286000000.0,133.8248663
21,1.0,80.6954,0.600491862884889,57.2014,57.3348,24.155,24.3057,335027800000.0,201.874687798079,201.874687798079,335027800000.0,153.09571269999998
22,1.0,77.76100000000001,0.591362558470973,70.5427,70.9694,28.9821,30.0238,361348500000.0,209.101372488429,209.10137248843003,361348500000.0,153.095671
23,1.0,76.3666,0.54884666733443,32.3063,50.5351,15.3395,20.8765,376539400000.0,211.97448916115897,211.97448916115897,376539400000.0,149.4214642
24,1.0,74.9722,0.487833510509943,48.5466,62.662,21.1601,26.8304,414633500000.0,226.49337808938301,226.49337808938301,414633500000.0,146.4330009
25,1.0,73.5778,0.47405475509875,65.2098,65.2098,26.5199,26.5199,460405200000.0,242.195643894361,242.195643894361,460405200000.0,137.64711440000002
26,1.0,72.1834,0.5663457872855121,54.6061,53.9507,29.22,29.5825,494239300000.0,250.59146951438703,250.59146951438703,494239300000.0,136.2705523
